prop_id,full_address,bedrooms,bathrooms,parking_spaces,latitude,longitude,floor_number,land_area,floor_area,price,property_features
P10088,1/765-767 Doncaster Road Doncaster VIC 3108,2,1,1,-37.78642253,145.1351824,1,,84,509000,central heating;central cooling;floorboards
P10089,2/8 Persimmon Court Doncaster VIC 3108,4,2,2,-37.78445067,145.1400969,1,,176,1250000,double garage;double-storey;floorboards;air conditioning
P10090,3/345 George Street Doncaster VIC 3108,3,2,2,-37.77855757,145.1333281,3,,98,787000,central heating;central cooling;floorboards
P10091,5/545-549 Doncaster Road Doncaster VIC 3108,1,1,1,-37.78767438,145.1189214,5,,76,387000,
P10092,7 Station Street Burwood VIC 3125,4,2,1,-37.85520685,145.1188326,,312,176,1192000,backyard;floorboards;central heating;outdoor deck
P10093,50 Cumming Street Burwood VIC 3125,4,2,2,-37.8540211,145.1126043,,339,237,1641000,floorboards;central heating;central cooling;dishwasher
P10094,3/1 Havelock Street Burwood VIC 3125,2,1,2,-37.85212189,145.1188176,1,,113,888000,central heating;central cooling;dishwasher;outdoor deck
P10095,15A Murray Drive Burwood VIC 3125,4,2,2,-37.84531234,145.1016948,,356,112,1450000,central heating;central cooling;dishwasher;outdoor deck;fireplace
P10096,5/380 Burwood Highway Burwood VIC 3125,2,1,1,-37.85221917,145.1298455,1,,142,762000,floorboards;air conditioning;dishwasher
P10097,31 Harrison Avenue Burwood VIC 3125,3,1,2,-37.85639908,145.0969882,,789,184,1655000,double-storey;double garage;dishwasher;air conditioning
P10098,18 Mccubbin Street Burwood VIC 3125,4,1,2,-37.85326195,145.1293408,,1027,275,1883000,
P10099,3/2 Worrall Street Burwood VIC 3125,3,2,2,-37.84848676,145.1322909,1,,64,1106000,floorboards;air conditioning;dishwasher
P10100,1/20-22 Hughes Street Burwood VIC 3125,4,3,2,-37.8524801,145.1090027,1,,151,1122000,floorboards;air conditioning;dishwasher
