stop_id,stop_name,stop_lat,stop_lon
19862,Aspendale Railway Station (Aspendale),-38.02722019,145.1021496
19863,Mordialloc Railway Station (Mordialloc),-38.00658295,145.0876594
19864,Parkdale Railway Station (Parkdale),-37.99307882,145.0763268
19865,Mentone Railway Station (Mentone),-37.98296939,145.0659908
19866,Cheltenham Railway Station (Cheltenham),-37.96664989,145.0545579
19867,Upper Ferntree Gully Railway Station (Upper Ferntree Gully),-37.8926717,145.3075302
19868,Ferntree Gully Railway Station (Ferntree Gully),-37.88169799,145.2952513
19869,Boronia Railway Station (Boronia),-37.8604518,145.2843851
19870,Bayswater Railway Station (Bayswater),-37.84173004,145.2681364
19871,Heathmont Railway Station (Heathmont),-37.82832227,145.2445554
19872,Highett Railway Station (Highett),-37.948425,145.0418718
19873,Glen Waverley Railway Station (Glen Waverley),-37.87950407,145.1620575
19874,Syndal Railway Station (Glen Waverley),-37.87622963,145.1497805
19875,Mount Waverley Railway Station (Mount Waverley),-37.87525526,145.1280557
19876,Lilydale Railway Station (Lilydale),-37.75722149,145.3458107
19877,Mooroolbark Railway Station (Mooroolbark),-37.78474883,145.3124024
19878,Croydon Railway Station (Croydon),-37.79543697,145.2805978
19879,Ringwood East Railway Station (Ringwood East),-37.81196804,145.2501909
19880,Pakenham Railway Station (Pakenham),-38.08061397,145.4863791
19881,Officer Railway Station (Officer),-38.06614572,145.4109872
19882,Beaconsfield Railway Station (Beaconsfield),-38.05083135,145.3660737
19883,Berwick Railway Station (Berwick),-38.04040829,145.3457261
19884,Narre Warren Railway Station (Narre Warren),-38.02780932,145.3039694
19885,Hallam Railway Station (Hallam),-38.01774038,145.2697768
19886,Cranbourne Railway Station (Cranbourne),-38.09953731,145.280599
19887,Merinda Park Railway Station (Cranbourne North),-38.07900048,145.2635114
19888,Dandenong Railway Station (Dandenong),-37.98996792,145.2097254
19889,Yarraman Railway Station (Noble Park),-37.97825454,145.1916003
19890,Noble Park Railway Station (Noble Park),-37.96662768,145.1763246
19891,Sandown Park Railway Station (Springvale),-37.95650457,145.1628259
19892,East Camberwell Railway Station (Camberwell),-37.82589419,145.0681902
19893,Canterbury Railway Station (Canterbury),-37.82448518,145.0812242
19894,Chatham Railway Station (Surrey Hills),-37.82429952,145.0886479
19897,Laburnum Railway Station (Blackburn),-37.82078023,145.1407027
19898,Blackburn Railway Station (Blackburn),-37.82007075,145.1500135
19899,Nunawading Railway Station (Nunawading),-37.82042828,145.1752369
19900,Mitcham Railway Station (Mitcham),-37.81808706,145.1928918
19901,Heatherdale Railway Station (Ringwood),-37.81883485,145.2135498
19902,Ringwood Railway Station (Ringwood),-37.81565977,145.2294737
19903,Auburn Railway Station (Hawthorn East),-37.82239831,145.0458437
19904,Glenferrie Railway Station (Hawthorn),-37.82146682,145.0364388
19905,Hawthorn Railway Station (Hawthorn),-37.82182601,145.0228987
19906,Burnley Railway Station (Burnley),-37.82756022,145.0075551
19907,East Richmond Railway Station (Richmond),-37.82639995,144.9970657
19908,Richmond Railway Station (Richmond),-37.82407446,144.9901643
19909,Heyington Railway Station (Toorak),-37.83467244,145.0226353
19910,Kooyong Railway Station (Kooyong),-37.83992894,145.0335516
19911,Tooronga Railway Station (Malvern),-37.84936553,145.0417337
19912,Gardiner Railway Station (Glen Iris),-37.85327908,145.0516547
19913,Springvale Railway Station (Springvale),-37.94950878,145.1534518
19914,Westall Railway Station (Clayton South),-37.93849121,145.1388326
19915,Clayton Railway Station (Clayton),-37.92468255,145.1205344
19916,Huntingdale Railway Station (Oakleigh),-37.91101734,145.1023643
19917,Oakleigh Railway Station (Oakleigh),-37.90037214,145.0883079
19918,Hughesdale Railway Station (Hughesdale),-37.89424888,145.0764347
19919,Murrumbeena Railway Station (Murrumbeena),-37.89019832,145.0673749
19920,Carnegie Railway Station (Carnegie),-37.88624148,145.0585751
19921,Werribee Railway Station (Werribee),-37.89937805,144.661118
19922,Hoppers Crossing Railway Station (Hoppers Crossing),-37.88327618,144.7009549
19923,Laverton Railway Station (Laverton),-37.86369404,144.7726167
19924,Aircraft Railway Station (Laverton),-37.86660595,144.7608094
19925,Westona Railway Station (Altona),-37.86516348,144.8134936
19926,Altona Railway Station (Altona),-37.8671476,144.8296447
19927,Seaholme Railway Station (Seaholme),-37.86784231,144.8409577
19928,Westgarth Railway Station (Northcote),-37.7806207,144.9992332
